#          p        sig_p         v          bv       sig_bv
#
       14.83        0.86        5.13       0.071       0.002
        11.8        0.75        5.36      -0.001       0.001
       10.94        0.94        7.28       0.515       0.015
       24.34         0.9        7.27       0.545       0.021
       10.76        0.87        5.77      -0.004       0.004
          41        0.88         6.8        0.61       0.013
       15.91         0.8        6.24       0.406       0.004
         134        0.86        5.74        0.89       0.008
       13.32        0.98        6.34       0.123       0.004
       23.13        0.92        6.37        0.42       0.014
       25.89        0.95        5.71        0.36       0.012
       72.51        0.88        4.13       0.507       0.006
       15.78         0.9        6.13         0.2       0.001
       17.96        0.87        6.54       0.448        0.01
       21.56         0.9         5.1       0.124       0.001
       22.92        0.89        5.89       0.602       0.003
       25.24        0.87        3.91       0.032       0.004
       33.77        0.85        3.52       0.086       0.002
       32.66        0.83        6.33        0.63       0.006
       13.69        0.87        6.57       0.233       0.007
       12.01        0.83        6.42       0.417       0.005
       25.15        0.97        7.59       0.626       0.015
       12.68        0.77        6.19       0.046       0.006
       31.53        0.75        5.43       0.386       0.004
       43.26        0.87        6.85       0.642       0.007
       13.37        0.78        5.57       0.002       0.002
       12.36         0.8        5.69      -0.014       0.003
       124.6        0.95        3.19       0.484       0.003
       12.38        0.89        6.14       0.043       0.004
       16.86        0.83        5.91       0.537       0.006
       10.41         0.9        6.35       0.052       0.009
       13.69        0.86        6.25       0.105       0.005
       31.45        0.83        6.18       0.451        0.01
        27.8        0.95        5.45       0.371       0.017
       27.29        0.79        4.84       0.174       0.003
       26.53        0.77         5.7       0.315       0.006
       11.55        0.95        4.91      -0.003       0.003
       11.33        0.76        5.98       0.089       0.003
       10.17        0.91        6.52       0.148       0.003
       12.12        0.83        5.63         0.2       0.007
       27.99        0.87        6.34       0.458       0.015
       12.85         0.8        5.39       0.106       0.004
       13.18        0.94        7.53        0.43       0.015
       27.04        0.94        4.64       0.085       0.004
       13.95        0.72        4.39      -0.088       0.004
        27.5        0.87        6.45        0.45       0.007
        27.1        0.82        4.88       0.076       0.001
       21.13        0.91        7.07       0.531       0.009
       51.57        0.77        5.12       0.563       0.003
       13.05        0.91        7.01       0.572       0.007
       23.97        0.97        6.77       0.468       0.008
        55.2        0.96        6.43       0.663       0.005
       21.08        0.97        7.11       0.514       0.008
       18.68        0.91        5.57       0.348       0.004
       60.24        0.78        6.27       0.733       0.003
        29.5        0.85        7.57       0.667       0.004
       15.64        0.75        3.41      -0.086       0.008
       10.04        0.86        5.54      -0.064       0.004
       20.73        0.88        5.39       0.251       0.001
        18.4         0.8        5.42        0.05       0.005
       13.54        0.95        5.18       0.121       0.005
       10.24        0.84        6.65        0.04       0.006
       11.71        0.81        6.03       0.087       0.007
       15.44        0.86        5.22       0.185       0.006
       36.15        0.79        6.16       0.642       0.005
       22.34        0.89        6.53       0.443       0.012
       12.26        0.94        5.76       0.293       0.006
       11.23        0.85        7.04       0.387       0.015
       10.69        0.87        6.59       0.029       0.006
       18.59        0.92        7.05       0.473       0.008
       10.55        0.79        6.47       0.056       0.006
       13.41        0.93        6.11       0.122       0.002
       42.09        0.79        1.36      -0.087       0.015
       38.86        0.83        6.77       0.648       0.008
       27.61        0.96         7.1        0.66       0.015
       10.03        0.91         6.1       0.042       0.001
       61.54        0.77         4.2       0.502       0.007
       23.18        0.98        6.74       0.571       0.008
       20.46        0.83        7.08       0.498       0.008
        28.4        0.87        5.64       0.516       0.005
       21.79        0.79        4.27       0.122       0.005
       33.81        0.83        6.01        0.42           0
       34.55        0.88        6.71       0.582       0.002
       16.85        0.93        7.56       0.466       0.015
       16.35        0.73        5.54       0.131       0.004
       32.38        0.99        7.02       0.594       0.003
       14.14        0.88        6.66        0.29       0.016
       32.55        0.95        7.04       0.606       0.011
       11.28        0.88        5.99       0.063       0.004
       17.51        0.87        6.66       0.491       0.003
       20.33        0.84        5.02       0.215       0.003
       13.23        0.97         6.6       0.556       0.015
       22.11        0.89        6.67       0.507       0.005
       15.49        0.94        5.14       0.018       0.005
       26.59        0.85        6.32       0.517       0.005
        22.8        0.98        6.62       0.429       0.012
       11.34         0.8        5.91       0.015       0.003
       12.21        0.95        7.57       0.456       0.015
       14.49        0.84        6.43       0.468       0.014
        11.6        0.97         6.9        0.47       0.015
       18.83        0.85        5.93       0.238       0.005
       12.38        0.69        5.91        0.01           0
       20.99        0.69        5.27       0.573       0.009
       11.72        0.86        6.25        0.48       0.007
       10.13        0.96        6.35       0.168       0.007
       21.84        0.89         5.4       0.263       0.007
       39.73         0.9         7.2       0.692       0.009
       55.22        0.73        4.97       0.714       0.007
       21.33        0.85        7.02       0.451       0.015
       19.85        0.91        7.32       0.551       0.002
       16.29        0.77        6.38        0.93       0.006
       17.23         0.8        7.22       0.448       0.015
       41.28        0.79        6.16       0.518       0.004
       13.48        0.87         5.9       0.303       0.015
       16.55        0.93        6.92       0.631       0.008
       24.56        0.85        6.72       0.508       0.001
       16.43        0.83         6.3       0.209       0.004
       38.67        0.83        6.54       0.607       0.007
       38.27        0.72        6.16       0.498       0.014
        17.6        0.99        7.42       0.474       0.009
       14.36        0.75        4.64        0.12       0.009
       11.48         0.9        7.95       0.458       0.012
       54.37        0.85        5.96       0.587       0.003
       16.49        0.78        5.09       0.068       0.004
       12.18        0.79        6.65       0.297       0.007
       48.83        0.92        6.49       0.731       0.004
       16.38        0.95        7.24        0.45       0.009
       34.84        0.83           6       0.572       0.006
        21.2        0.99        5.26       0.225       0.008
       10.17        0.84        7.24       0.602       0.009
       26.79        0.99        8.02         0.7       0.012
       21.24        0.78        4.94       0.072       0.005
        31.8        0.93        7.31       0.611       0.002
       21.68        0.84        7.37       0.561       0.015
       10.73        0.81        6.98       0.508       0.003
       21.31        0.86        3.65       0.073       0.005
       18.36        0.77        3.33      -0.003       0.005
       18.72        0.83        6.89       0.646       0.006
       12.47        0.78        6.77       0.568       0.006
       51.71        0.83        7.15       0.714       0.003
       18.19        0.85        6.87       0.442       0.006
       25.52        0.99        7.85       0.705           0
        14.6        0.95        7.42       0.456       0.015
       10.14        0.97        7.26       0.396       0.015
       22.99        0.95        6.64       0.442       0.018
       22.93        0.94        7.33       0.544       0.009
       13.55        0.71        3.77      -0.057       0.005
       23.09        0.83        6.75        0.45       0.015
       21.47        0.97        6.44       0.509       0.005
       36.32         0.9        6.61       0.562       0.006
       28.29        0.93        7.01       0.599       0.013
        20.4        0.81        5.93       0.354       0.004
       29.56        0.96        6.72       0.529       0.006
       19.28        0.79        6.61       0.407       0.006
       24.28        0.79         6.5       0.428       0.002
       11.18        0.94        7.93       0.495       0.015
       48.83        0.91        7.34        0.83        0.01
       21.66        0.87        7.21       0.477       0.017
       21.15         0.8        5.58        0.39       0.005
       35.07        0.88        7.04       0.604       0.001
       13.01        0.94        7.55       0.521       0.015
       19.85        0.85        6.98       0.534       0.006
       47.72        0.77        6.08       0.705       0.005
       11.37        0.76        5.86      -0.039       0.002
       89.07        0.99        6.49       0.926       0.003
       18.56        0.86        5.53       0.237       0.011
       22.24        0.92        6.11       0.448       0.005
        56.6        0.76         5.8         0.6       0.005
        19.9         0.8        6.18        0.35       0.006
       19.52        0.79        7.16       0.473       0.009
       10.16        0.79        6.15       0.002       0.002
       24.14         0.9        5.97       0.354       0.017
       22.36        0.88         4.8       0.154       0.007
       64.12         0.7         4.5       0.508       0.001
       17.27        0.87         7.3       0.416       0.007
       17.04        0.93        7.34        0.44       0.011
       21.12        0.95        7.26       0.513       0.004
       28.24        0.93        5.58       0.471       0.003
       19.83        0.89         6.8       0.441       0.014
       23.22        0.92        6.61       0.427       0.009
       13.35        0.77        6.03       0.073       0.005
       27.91        0.86        7.64         0.7       0.004
       23.87        0.85        7.52       0.636        0.01
       63.02        0.93        4.91       0.657       0.012
       39.07         0.8        6.96       0.627       0.006
       26.87        0.89        7.39       0.618       0.009
       20.58        0.78        7.57       0.618       0.011
       10.92        0.94        6.21      -0.042       0.004
       17.08        0.81        7.02       0.588       0.004
       16.97        0.86        7.73       0.505       0.003
        20.4        0.74        5.97       0.378       0.014
       20.56        0.81        7.46       0.509       0.009
       86.69        0.81           6       0.841       0.005
       47.33        0.86         5.2        0.43           0
       23.24        0.94        6.96       0.507       0.007
       22.27        0.93        7.46        0.56       0.014
       27.26        0.73        5.65       0.505       0.004
       11.63        0.65        5.89       0.022       0.004
       14.59        0.86        7.52       0.441       0.015
       19.04        0.97        7.81       0.493       0.018
       23.95        0.94        6.26       0.618       0.012
       18.01        0.66        6.18       0.688       0.005
       16.97        0.77        4.51       0.062       0.003
       15.37        0.86        6.27       0.196       0.004
       11.65        0.91        6.43       0.274       0.002
       19.94        0.93        7.09        0.47       0.015
       14.44        0.83        6.14       0.247       0.011
       35.32        0.85        6.44       0.544       0.008
       47.65        0.76        6.43       0.611       0.009
       10.77         0.9        5.73       0.017       0.009
       10.37         0.9        7.37       0.415       0.015
       14.94        0.71         5.6      -0.006       0.002
       30.99        0.83        6.25       0.504       0.023
        18.9        0.83        6.43        0.35       0.007
       25.57        0.74        5.77       0.314       0.005
        18.8        0.82        5.28       0.118       0.005
       56.52        0.83        2.56       0.128       0.014
       52.37        0.68        4.19       0.483       0.002
        26.7        0.93        6.62         0.6       0.015
       21.32        0.83        7.27       0.581       0.009
       22.91        0.98        7.19       0.573       0.006
       20.23        0.81        5.56       0.121       0.004
        65.1        0.76        5.45       0.666       0.007
       10.76        0.81        6.07      -0.028       0.006
       19.48        0.99        7.83       0.705       0.003
       43.21        0.96        7.68       0.833       0.008
        29.5        0.83         6.2       0.518       0.004
       12.84        0.77        5.68       0.093       0.005
       41.19        0.87        6.65        0.62       0.011
       17.41        0.87        6.51       0.521       0.007
       13.39        0.85        6.09       0.028       0.005
       19.55        0.89        6.79       0.434       0.015
       16.53        0.82        7.03       0.415       0.006
       25.04        0.85        5.97       0.259        0.01
       19.27        0.89        6.02       0.573       0.005
       15.27        0.67        4.81       -0.03       0.009
       33.19        0.85        5.23       0.457       0.003
       10.26        0.59        5.65       0.121       0.003
       21.67        0.82        6.43        0.88       0.003
       30.76        0.98        7.33       0.677       0.003
       10.73        0.99        7.28       0.493       0.015
       16.98        0.99        7.49       0.451       0.023
       21.54        0.97        7.36       0.557       0.013
       32.43        0.91        6.54       0.464       0.015
        15.4        0.88        7.49       0.501       0.004
       18.25        0.82        5.64       0.277       0.004
       20.01        0.91        4.62       0.155       0.005
       42.45        0.98        7.51       0.752       0.005
       22.83        0.69        6.22       0.434       0.005
       43.16        0.93        7.74       0.966       0.008
       49.61        0.94        6.89       0.745       0.008
       16.95        0.75        6.38       0.194       0.007
       59.79        0.84         5.9        0.62       0.015
       15.38        0.83        7.03       0.539       0.004
       18.56        0.95        7.21       0.496       0.015
       22.65        0.84        5.27        0.25        0.01
       10.25        0.61        6.14       0.242       0.004
       18.12        0.92        7.05       0.424       0.006
       41.25        0.88        6.94        0.62        0.02
       22.79        0.86        6.91       0.466       0.007
       14.45        0.73        6.45       0.513       0.004
       18.42        0.71        4.82       0.066       0.002
       14.84        0.81        7.22       0.521       0.006
       10.46        0.96        6.17       0.006       0.007
       11.58        0.71        6.31       0.064       0.004
       39.06        0.93        7.82       0.755       0.013
       64.17        0.85        7.28       0.815       0.003
       12.66        0.93        7.59       0.481       0.012
       34.85        0.68        6.19       0.492       0.015
       22.52        0.69         6.3       0.437       0.003
       24.49        0.78        4.79        0.29           0
        19.5        0.73        4.58        0.18       0.012
       15.52        0.93        7.12       0.624       0.015
       55.73         0.8        5.86       0.576       0.016
       35.02        0.65        6.32       0.642       0.006
       22.98        0.85        6.83        0.54       0.007
       12.65        0.79        6.57       0.842       0.006
       18.64        0.99        7.12       0.398       0.015
       11.41        0.71         6.2       0.227       0.003
       11.78        0.97        8.76       0.509       0.016
       43.14        0.94        6.89       0.662       0.001
       12.65        0.98        6.74       0.403       0.008
        16.9        0.86        7.66       0.493       0.003
        22.1        0.82        6.87       0.567       0.006
       14.88         0.9        7.07       0.586       0.001
       17.84        0.83        7.41       0.471       0.008
       23.25        0.75        6.57       0.415       0.005
       58.23        0.99        6.29       0.703       0.002
        50.7        0.76        4.93       0.429       0.006
       33.54        0.84        6.88       0.526       0.004
       36.05        0.73        6.19       0.528       0.003
       25.42        0.99        7.37       0.642       0.005
       20.05        0.84        7.31        0.88       0.005
       20.77        0.89        5.57        0.52       0.004
       11.01         0.9        5.79       0.018       0.005
       46.56        0.89         7.1       0.771       0.002
       27.63        0.98        8.49        0.76       0.015
          28        0.77        6.22       0.411       0.005
       85.06        0.71        3.77       0.435       0.007
       20.02        0.99        8.31        0.68       0.015
       57.89         0.9        5.74       0.573        0.01
       11.39        0.96        8.19       0.995       0.006
       11.47        0.96        7.85       0.365        0.01
       16.96        0.82        5.24       0.231       0.005
       10.23        0.94        6.41       0.276       0.005
       12.61        0.77        6.87       0.456       0.003
       14.96        0.98        7.09       0.468       0.014
       12.55         0.9         7.3       0.466       0.006
       46.95        0.97        7.76       0.845       0.015
       21.19        0.97        8.05        0.67       0.015
       19.42        0.88        7.67       0.602       0.009
       46.28        0.91        7.82       0.924       0.014
       22.98        0.87        6.95       0.484       0.008
       14.33        0.98        8.35        0.55       0.015
       14.95        0.76        7.29       0.559       0.006
       22.49        0.88        7.69       0.669       0.008
       11.47        0.71        5.17       0.082       0.003
       19.04        0.95        7.64       0.485       0.003
       15.97         0.9        7.56       0.451       0.011
       14.49        0.94        7.21       0.406       0.008
       45.61        0.71        7.01       0.799       0.005
       30.11        0.84        6.93       0.584       0.005
       13.18        0.65        6.84       0.206       0.006
       10.68        0.67        5.59       -0.05       0.004
       15.36        0.75        6.59         0.4       0.006
       47.25        0.89        6.62       0.696       0.009
       16.73        0.69        6.93       0.432       0.005
       16.01        0.93        8.16       0.521       0.015
       13.68        0.81        6.48       0.391       0.008
       13.57        0.98         8.4        0.54       0.012
       43.65        0.79        2.22       0.032       0.003
        12.1        0.97        8.11       0.542       0.017
        23.2        0.61        6.35       0.444       0.003
       37.19        0.89        7.45       0.686       0.009
       10.53        0.91        8.11       0.543       0.013
       12.82        0.94        4.97       0.098       0.008
       11.56        0.75        4.98       0.088       0.007
       10.69        0.82         7.3       0.527       0.006
       13.97        0.84         5.3       0.081       0.005
       10.88        0.99        7.95         0.5        0.01
       23.34         0.7        6.57       0.427       0.005
       55.17        0.93        5.13       0.487       0.004
       10.49        0.77        4.74       0.032       0.007
       14.39        0.79        7.24        0.48        0.01
       16.64        0.99        8.57         0.6       0.015
       10.88        0.98        8.07       0.397        0.01
       17.77        0.87        6.77       0.409       0.011
       17.96        0.71        5.39       0.049       0.003
       10.24        0.97        8.54        0.59       0.015
       38.34        0.96        8.02       0.757       0.003
       22.39        0.87        6.88       0.448       0.004
       14.98        0.82        6.48       0.362       0.006
       109.2        0.72        4.23       0.572       0.006
       18.02        0.93        7.78       0.536       0.011
       12.81        0.75        6.05       0.399       0.005
        12.3        0.92        7.16       0.449       0.009
       29.41        0.91        7.74       0.733       0.005
          20        0.97        5.07        0.12       0.006
       14.97        0.98        8.32       0.522       0.021
       20.27        0.76        7.04       0.658       0.005
       20.01        0.88        6.38       0.306       0.007
        79.8        0.84        5.96       0.869       0.012
       13.63        0.92        7.48       0.389       0.015
        11.7        0.96        7.65       0.327       0.027
       11.86        0.57        5.66      -0.001       0.004
       10.81        0.87        7.43       0.471       0.006
       13.97        0.88        7.96       0.896       0.012
        12.4        0.73        6.47       0.428       0.005
        22.2        0.86        7.98       0.518       0.002
       12.78        0.89        7.83       0.468       0.008
       11.06        0.65         5.8       0.046       0.004
       15.46        0.79        5.91       0.202       0.002
       17.62        0.95        6.62       0.479       0.012
       31.25        0.81        6.46       0.635       0.006
       44.64        0.69        4.49       0.512       0.007
       19.95         0.8        7.41         0.6       0.015
       20.27        0.97        7.97       0.737       0.014
       13.73         0.8        7.17       0.556       0.006
       11.79         0.6        5.12       0.212       0.003
       16.16        0.98        7.97       0.605       0.005
       72.98        0.75        6.07       0.752       0.003
       13.46        0.95         7.8       0.463       0.015
        14.4        0.65        5.28       0.062       0.003
       23.84        0.63        6.51       0.579       0.005
       14.38        0.99        8.84        0.59       0.015
       59.52        0.77        6.97       0.716       0.005
       11.77        0.82        7.55        0.35       0.011
       52.37        0.84        5.93       0.595       0.008
       10.32        0.93        8.07       0.481        0.01
       23.18        0.92        7.32       0.622       0.005
       37.33        0.97        8.06       0.758       0.015
       16.27        0.97        8.41        0.62       0.015
       15.57        0.84        7.72       0.583       0.008
       34.57        0.73        7.07       0.635       0.005
       15.46         0.8         7.5        0.73       0.015
       14.44        0.99         7.5        0.57       0.013
       10.65        0.97        7.86       0.614       0.008
       15.44        0.86        7.27       0.418       0.011
       18.79        0.92        6.67       0.526       0.009
        12.2        0.65        6.02       0.163       0.003
       39.24        0.97        7.91       0.797       0.002
       32.48        0.84        5.89       0.591       0.014
       22.27        0.97        7.99       0.703       0.015
        16.7        0.85        8.18        0.67       0.015
       19.92        0.91        6.25       0.474       0.005
       21.22        0.92        7.56       0.584       0.002
        11.2        0.91        8.35       0.492       0.011
       14.25        0.79        8.05       0.524       0.015
       18.55        0.97         7.9       0.567        0.01
       12.75        0.93        7.98       0.541       0.009
       21.36        0.65        6.79       0.531       0.003
       29.35        0.95        7.95       0.755       0.015
        18.9        0.93        7.55       0.561       0.015
       63.88        0.55        5.05       0.528       0.002
       41.33        0.97        8.07       0.871       0.016
       19.92        0.78        7.21       0.616       0.007
       15.07        0.57        6.04       0.158       0.004
       11.86        0.78        7.88       0.504       0.009
       20.04        0.65        3.92      -0.018       0.004
       25.37        0.72         7.1       0.555       0.006
       30.93        0.73        6.86       0.604       0.006
       14.51        0.93        8.48       0.626       0.003
       17.45        0.88         7.6       0.458       0.015
       13.64        0.73        7.14       0.483       0.001
       13.62        0.76        7.68        0.58       0.008
       10.89        0.84        7.28       0.835       0.008
       22.73        0.81        7.33       0.534       0.008
        20.3        0.62        6.51       0.371       0.004
        15.8        0.82        6.23       0.469       0.006
        33.3        0.62        5.34       0.319       0.003
       24.42        0.73        5.73        0.44       0.003
       67.14        0.83        5.37       0.676       0.004
       14.58        0.99         8.3       0.526       0.015
       22.41        0.65        5.75       0.333       0.005
       21.09        0.82        6.42       0.331       0.005
       10.41        0.72        6.12       0.109       0.003
        12.6         0.8        6.46       0.241       0.005
       46.05        0.92        6.78       0.679       0.009
       69.48        0.56        5.38       0.619       0.003
       24.64        0.54         5.2       0.367       0.004
       23.72        0.77        6.32        0.45       0.003
        13.7        0.53        5.22         0.1       0.003
       20.02        0.86        6.23       0.456       0.005
       36.65        0.73        5.78       0.572       0.004
       11.85        0.91        6.68       0.237       0.007
       18.11        0.78        6.23       0.515       0.004
       66.76        0.54         5.2       0.594       0.003
       12.99        0.79        6.35       0.459        0.01
       10.96        0.81        5.14       0.057       0.003
       31.29        0.62        6.62       0.595       0.022
       11.13        0.73        6.22       0.009       0.004
       64.54         0.6        6.37       0.804       0.006
       57.38        0.71        5.39       0.612       0.003
       11.13        0.84        5.25      -0.004       0.001
       102.4        0.88         8.1        1.31       0.019
       10.33        0.73        7.47       0.869       0.006
       15.76         0.8        4.72        0.26       0.012
       46.11        0.98        5.23       0.599       0.007
       52.25        0.87        5.95       0.585       0.007
       14.18        0.85        5.89       0.147       0.005
          24        0.91        5.77         0.4       0.019
       15.06        0.83        7.75       0.501        0.01
       13.85        0.81        6.49       0.256       0.007
       18.31        0.95        6.05       0.469       0.015
       13.76        0.85        7.94       0.503       0.015
        92.2        0.84        4.84       0.607       0.005
        42.2        0.56        6.52       0.639       0.003
       10.11        0.95        8.32       0.427       0.003
       26.14        0.79        6.34         0.5       0.004
       11.63        0.54        5.94      -0.017       0.001
        10.8        0.87        7.57       0.574       0.011
        18.5        0.56        6.08         0.2       0.005
       16.32        0.83        6.54       0.228       0.007
       11.39        0.98        7.94       0.546       0.015
       12.01        0.93        8.15       0.468        0.01
       18.76        0.78        6.12       0.386       0.005
       20.83         0.9        6.68       0.451       0.007
       35.78        0.84        4.49        0.19       0.012
       16.97        0.98        7.96       0.593       0.014
       16.11        0.65        7.56       0.536       0.009
        37.9        0.83        6.12         0.6       0.001
       13.44        0.89        8.08       0.461       0.009
       11.55        0.67         5.2      -0.059       0.002
       46.04         0.9        6.41         0.6           0
       22.39        0.98        8.29        0.64           0
       12.14        0.93        6.49       0.184       0.006
        21.6        0.75        6.29       0.436       0.005
       33.91        0.62        6.35       0.537       0.004
       10.59        0.86        6.68       0.215       0.008
       22.63        0.81        6.24       0.424       0.005
       23.11        0.68        4.51       0.054       0.002
       26.75        0.81        3.82       0.066        0.01
       24.37        0.55        4.93       0.151       0.018
       15.31        0.83        6.54       0.469       0.005
       16.76        0.52        5.58       0.056       0.003
       30.96        0.76         8.4       0.821       0.007
       18.32        0.78        8.39       0.576       0.005
       18.34        0.55        4.64       0.043       0.003
       11.23        0.71        7.99       0.489       0.012
       39.64        0.56        6.29       0.676       0.003
       10.15        0.94         8.1       0.523       0.013
       26.82        0.89        6.51         0.6       0.042
       26.96        0.65        4.31       0.309       0.008
       12.73        0.57        5.53       0.174       0.004
       24.39        0.66        6.15       0.389       0.004
        20.5        0.94        4.93       0.037       0.011
       20.44        0.76        5.84       0.595       0.003
       46.87        0.77        5.52        0.52       0.005
       23.59        0.77        5.77       0.468       0.004
       17.82        0.75        4.76       0.113       0.002
       16.41        0.75        6.83       0.474       0.004
       32.03        0.91        5.97       0.593       0.006
       11.97         0.6        5.69       -0.01       0.042
       26.94        0.82        8.03       0.585        0.01
       12.07        0.53        5.63       0.072       0.004
       90.11        0.54        6.38       0.876       0.007
       42.57        0.86        8.58       0.963       0.002
       18.42        0.81        5.91       0.502       0.004
       285.4        0.72        6.05       1.309       0.012
       10.61        0.87        6.56       0.077       0.009
       69.61        0.57        6.66       0.734       0.001
       26.79         0.9        7.78       0.621       0.004
       57.57        0.64        5.95       0.557       0.013
       15.59        0.67         5.3       0.019       0.019
       29.22        0.96        6.74       0.545       0.007
        20.1        0.76        4.67        0.17        0.01
       12.01         0.9        8.82        0.57       0.016
       45.85        0.79        6.78       0.906       0.006
       44.93        0.73        7.65       0.946       0.008
       19.93        0.51        6.52       0.509       0.005
       79.08         0.9        4.69        0.63       0.003
        57.9        0.98        7.36       0.937       0.017
       26.05        0.79        5.28       0.223       0.004
       41.07        0.98        7.46       0.794           0
          12        0.59        6.22       0.182       0.005
       21.62        0.83         6.6       0.513       0.005
       37.64        0.59        6.39       0.533        0.01
       15.79        0.61        5.04       0.198       0.003
       71.04        0.66        5.03       0.624       0.003
       13.32        0.78        5.77       0.198       0.004
       35.14         0.9        2.09      -0.003       0.004
       10.87        0.79        5.54       0.127       0.004
       19.48         0.7        5.88       0.211       0.004
       25.65         0.7        5.73       0.531       0.003
       14.87        0.74        3.18      -0.148       0.004
       119.5        0.83        4.24       0.588       0.009
       74.25        0.72         4.1       0.536       0.007
       15.09         0.7           6       0.166       0.004
       28.28        0.86        8.87       0.806       0.004
       42.43        0.59        6.36       0.702       0.003
       44.99        0.64        7.08       0.796       0.007
       17.44        0.56        6.38       0.287       0.006
       18.98        0.71        5.67       0.603       0.003
       63.08        0.54         4.6       0.563       0.014
       23.46        0.89        7.48       0.583       0.005
       79.09        0.83        4.96       0.618       0.001
       21.13        0.58        6.81       0.631       0.007
       21.98        0.75        6.03       0.584       0.005
       19.38         0.8         5.9       0.358       0.005
       15.48         0.9        6.09        0.37           0
       17.82        0.72        5.94       0.524       0.005
          21        0.66        4.96       0.051       0.006
       24.21        0.74        5.98        0.52       0.004
       60.56        0.73        5.24       0.575       0.005
       10.75        0.98        6.12       0.068       0.002
       15.35        0.74        7.87       0.539       0.009
        14.1        0.76        7.73        0.49       0.015
       55.11        0.59        6.61       0.877       0.006
       45.63        0.83        7.36       0.801       0.003
        15.3        0.88        7.91       0.543       0.015
       10.68        0.73        7.23       0.785       0.015
       16.56        0.55        5.39        0.03       0.003
       18.85        0.98        9.15        0.68        0.02
       39.72        0.78         1.9       0.077       0.006
       42.94        0.95        6.29       0.566       0.007
       44.08        0.51         6.3       0.641       0.005
       10.09        0.61        6.19       0.078       0.004
       11.53        0.79        7.91        0.44       0.011
       45.89        0.84        6.32       0.624       0.004
       17.96        0.67        7.59       0.613        0.01
        33.6        0.78        7.93       0.759       0.002
       54.26        0.74        5.08       0.619       0.007
       14.37        0.73        8.27       0.619       0.013
       14.74        0.66        7.84       0.447       0.011
       11.68        0.94        7.98       0.435       0.021
       27.98        0.88        7.28       0.565       0.009
       17.15        0.78        6.33       0.461       0.007
       13.86        0.78        6.53       0.263       0.003
       10.78        0.72        7.45       0.474       0.008
       10.15        0.99        8.13       0.435       0.015
       29.14         0.5        5.59       0.335       0.004
       27.98        0.55        5.76       0.353       0.009
        10.6        0.79        6.54       0.234       0.006
       25.54        0.46           5       0.186       0.005
       21.64        0.87        5.67       0.452       0.004
       18.71        0.73        4.95        0.17       0.005
       55.37        0.55        6.76       0.728       0.005
       59.31        0.69        5.54       0.576       0.002
       15.14        0.52        6.22       0.398       0.005
       12.77         0.7        5.31       0.006       0.004
       10.41        0.93        6.55      -0.036       0.005
       24.07        0.96        6.05       0.406       0.002
       19.17        0.87        8.06       0.622       0.015
        19.7        0.56        6.98       0.582       0.006
       12.55        0.52        5.59      -0.005       0.003
       10.94        0.56        6.79       0.256       0.006
       10.48        0.89        5.66       0.002       0.007
       48.96        0.97        7.98       0.986       0.004
       42.45        0.77        6.42        0.61       0.006
        15.5        0.78        6.44       0.427        0.02
       17.12        0.61        4.68       0.132       0.005
       21.86        0.69        5.94       0.468       0.004
       13.11        0.79        4.61      -0.001       0.002
       89.03        0.79         4.1       0.514       0.002
       29.33        0.62        5.68       0.449       0.003
       40.82        0.57        4.53       0.302       0.014
       10.98        0.85        6.76        0.12       0.002
       205.2        0.81         6.6       1.326       0.008
       94.93        0.67        4.05       0.595       0.007
       40.25        0.54        5.63       0.533       0.004
       50.25        0.81        5.35        0.47       0.003
       11.85        0.63        5.14      -0.049       0.002
          34         0.5        6.48       0.541       0.011
       12.59        0.84        5.46       0.235       0.005
       10.56        0.89        8.07       0.617       0.011
       53.78        0.47        4.49       0.395       0.015
       31.86        0.54        3.76       0.031       0.003
       10.25        0.87         4.6       0.043       0.004
        46.7        0.52        6.25       0.661       0.005
       39.64        0.71        6.31       0.537       0.004
       46.25         0.5        5.99       0.643       0.006
       18.84        0.74        6.16       0.435       0.003
       24.54        0.94        7.44        0.63           0
       13.49        0.65        7.84       0.463       0.015
       15.03        0.47        5.02       0.043       0.004
       18.24        0.56        5.38       0.152       0.004
        10.4        0.56        6.16       0.026       0.004
       39.08        0.47        5.71       0.475       0.011
       34.48        0.75        6.14       0.436       0.002
       33.54        0.56        4.75       0.236       0.015
       14.96         0.7        4.78       0.048       0.006
       22.15        0.67        6.21       0.536       0.003
       38.14        0.79        4.98       0.343       0.005
       24.68        0.85        6.47       0.403       0.004
        66.4        0.78        7.01       0.936       0.014
       68.63        0.56        4.04       0.497       0.005
       22.42        0.67        5.96       0.419       0.001
       15.32        0.52        5.65       0.122       0.004
       13.64        0.78        7.94       0.485       0.015
       12.21        0.72        4.47       0.027       0.013
       13.37        0.69        6.64       0.216       0.007
       23.23        0.85        8.41       0.716       0.015
       10.83        0.63        6.56       0.096       0.003
        74.5        0.69        7.24       0.997       0.018
       45.58        0.62         6.2       0.568       0.004
       31.99        0.67         7.8       0.788       0.005
       27.43        0.46        5.81       0.445       0.004
       49.31        0.58        5.58       0.556       0.003
       19.46        0.71        5.52       0.125       0.005
        13.6        0.93        8.55        0.67       0.005
       11.76        0.86        5.36       0.331       0.017
       81.69        0.83        6.21        0.84       0.006
       41.83        0.63        7.77       0.785       0.005
        32.7        0.77        6.45        0.58       0.005
       21.15        0.72        5.71       0.507       0.003
       15.89        0.62        7.29       0.432       0.007
